Month,PetDB Unique IPs,PetDB Total monthly requests
10-2011,57,142
11-2011,59,119
12-2011,79,190
01-2012,68,173
02-2012,113,244
03-2012,126,301
04-2012,63,222
05-2012,69,157
06-2012,55,105
07-2012,81,279
08-2012,55,153
09-2012,45,78
10-2012,66,232
11-2012,68,160
12-2012,59,151
01-2013,78,202
02-2013,104,234
03-2013,147,292
04-2013,98,274
05-2013,53,182
06-2013,58,138
07-2013,69,152
08-2013,69,253
09-2013,61,121
10-2013,76,248
11-2013,56,161
12-2013,71,144
01-2014,97,236
02-2014,94,191
03-2014,125,253
04-2014,95,203
05-2014,77,181
06-2014,73,151
07-2014,67,142
08-2014,58,103
09-2014,79,194
10-2014,89,181
11-2014,72,154
12-2014,70,187
01-2015,88,481
02-2015,137,276
03-2015,107,252
04-2015,96,202
05-2015,92,256
06-2015,65,149
07-2015,99,198
08-2015,52,122
09-2015,82,178
10-2015,78,154
11-2015,104,214
12-2015,96,192
01-2016,110,199
02-2016,144,330
03-2016,133,313
04-2016,92,239
